instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,CasualClass,registered,registeredClass,cnt,cntClass,4&1,4&4,1&2,1&3,2&1,2&2,2&3,2&4,3&1,3&2,3&3,3&4,4&2,4&3
147,5/27/2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3,3808,3,4679,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,5/28/2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,4,2757,2,4758,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,5/29/2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,4,2433,1,4788,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5/30/2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,4,2549,2,4098,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,5/31/2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,2,3309,2,3982,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,6/1/2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,2,3461,2,3974,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,6/2/2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,3,4232,3,4968,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,6/3/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,3,4414,3,5312,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,6/4/2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,4,3473,2,5342,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,6/5/2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,4,3221,2,4906,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,6/6/2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,2,3875,3,4548,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,6/7/2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,3,4070,3,4833,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,6/8/2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,2,3725,3,4401,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,6/9/2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,2,3352,2,3915,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,6/10/2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3,3771,3,4586,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,6/11/2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,4,3237,2,4966,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,6/12/2011,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,4,2993,2,4460,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,6/13/2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,3,4157,3,5020,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
165,6/14/2011,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,3,4164,3,4891,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,6/15/2011,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,3,4411,3,5180,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
167,6/16/2011,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,2,3222,2,3767,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
168,6/17/2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3,3981,3,4844,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,6/18/2011,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,4,3312,2,5119,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,6/19/2011,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,4,3105,2,4744,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,6/20/2011,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,2,3311,2,4010,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,6/21/2011,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,3,4061,3,4835,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,6/22/2011,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,2,3846,3,4507,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,6/23/2011,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,3,4044,3,4790,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,6/24/2011,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,3,4022,3,4991,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,6/25/2011,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,4,3420,2,5202,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,6/26/2011,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,4,3385,2,5305,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,6/27/2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3,3854,3,4708,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,6/28/2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3,3916,3,4648,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,6/29/2011,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,3,4377,3,5225,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,6/30/2011,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,3,4488,3,5515,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,7/1/2011,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4,4116,3,5362,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,7/2/2011,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,4,2915,2,5119,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,7/3/2011,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,4,2367,1,4649,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,7/4/2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,4,2978,2,6043,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,7/5/2011,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3,3634,2,4665,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,7/6/2011,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3,3845,3,4629,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,7/7/2011,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3,3838,3,4592,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,7/8/2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,2,3348,2,4040,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,7/9/2011,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,4,3348,2,5336,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,7/10/2011,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,4,3138,2,4881,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,7/11/2011,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3,3363,2,4086,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,7/12/2011,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,2,3596,2,4258,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,7/13/2011,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3,3594,2,4342,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,7/14/2011,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,3,4196,3,5084,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
196,7/15/2011,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4,4220,3,5538,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,7/16/2011,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,4,3505,2,5923,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,7/17/2011,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,4,3296,2,5302,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,7/18/2011,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3,3617,2,4458,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,7/19/2011,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3,3789,3,4541,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,7/20/2011,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,2,3688,3,4332,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,7/21/2011,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,2,3152,2,3784,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,7/22/2011,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2,2825,2,3387,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
204,7/23/2011,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,3,2298,1,3285,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,7/24/2011,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,3,2556,2,3606,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206,7/25/2011,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,2,3272,2,3840,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,7/26/2011,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3,3840,3,4590,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208,7/27/2011,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3,3901,3,4656,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209,7/28/2011,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,2,3784,3,4390,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,7/29/2011,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,2,3176,2,3846,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,7/30/2011,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,4,2916,2,4475,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,7/31/2011,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,4,2778,2,4302,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,8/1/2011,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3,3537,2,4266,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214,8/2/2011,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,3,4044,3,4845,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
215,8/3/2011,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,2,3107,2,3574,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,8/4/2011,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3,3777,3,4576,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,8/5/2011,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3,3843,3,4866,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,8/6/2011,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,4,2773,2,4294,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,8/7/2011,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,4,2487,1,3785,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8/8/2011,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3,3480,2,4326,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
221,8/9/2011,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3,3695,3,4602,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
222,8/10/2011,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3,3896,3,4780,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,8/11/2011,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3,3980,3,4792,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,8/12/2011,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3,3854,3,4905,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,8/13/2011,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,4,2646,2,4150,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,8/14/2011,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,4,2482,1,3820,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,8/15/2011,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3,3563,2,4338,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228,8/16/2011,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,3,4004,3,4725,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,8/17/2011,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,2,4026,3,4694,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,8/18/2011,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,2,3166,2,3805,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,8/19/2011,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3,3356,2,4153,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
232,8/20/2011,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,4,3277,2,5191,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,8/21/2011,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,4,2624,2,3873,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,8/22/2011,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3,3925,3,4758,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235,8/23/2011,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4,4614,3,5895,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,8/24/2011,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,3,4181,3,5130,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
237,8/25/2011,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,2,3107,2,3542,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
238,8/26/2011,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3,3893,3,4661,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
239,8/27/2011,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,1,889,1,1115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8/28/2011,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,4,2919,2,4334,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,8/29/2011,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3,3905,3,4634,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,8/30/2011,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,3,4429,3,5204,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,8/31/2011,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,2,4370,3,5058,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
244,9/1/2011,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,3,4332,3,5115,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
245,9/2/2011,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3,3852,3,4727,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246,9/3/2011,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,4,2549,2,4484,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,9/4/2011,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,4,2419,1,4940,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248,9/5/2011,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,4,2115,1,3351,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,9/6/2011,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,1,2506,2,2710,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,9/7/2011,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1,1878,1,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,9/8/2011,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1,1689,1,1842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,9/9/2011,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,2,3127,2,3544,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,9/10/2011,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,4,3595,2,5345,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
254,9/11/2011,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,4,3413,2,5046,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255,9/12/2011,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,2,4023,3,4713,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
256,9/13/2011,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,2,4062,3,4763,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
257,9/14/2011,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,2,4138,3,4785,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
258,9/15/2011,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,2,3231,2,3659,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
259,9/16/2011,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,3,4018,3,4760,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,9/17/2011,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,4,3077,2,4511,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
261,9/18/2011,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,4,2921,2,4274,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,9/19/2011,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,2,3848,3,4539,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,9/20/2011,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,2,3203,2,3641,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,9/21/2011,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,2,3813,3,4352,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
265,9/22/2011,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,2,4240,3,4795,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266,9/23/2011,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,1,2137,1,2395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,9/24/2011,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,4,3647,2,5423,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
268,9/25/2011,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,4,3466,2,5010,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,9/26/2011,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,2,3946,3,4630,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,9/27/2011,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,2,3643,2,4120,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
271,9/28/2011,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,2,3427,2,3907,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
272,9/29/2011,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,2,4186,3,4839,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
273,9/30/2011,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,3,4372,3,5202,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
274,10/1/2011,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,2,1949,1,2429,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275,10/2/2011,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2,2302,1,2918,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276,10/3/2011,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,2,3240,2,3570,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
277,10/4/2011,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,2,3970,3,4456,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
278,10/5/2011,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,2,4267,3,4826,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279,10/6/2011,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,2,4126,3,4765,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,10/7/2011,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,3,4036,3,4985,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
281,10/8/2011,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,4,3174,2,5409,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
282,10/9/2011,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,4,3114,2,5511,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
283,10/10/2011,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,4,3603,2,5117,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
284,10/11/2011,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,2,3896,3,4563,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
285,10/12/2011,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,1,2199,1,2416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,10/13/2011,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,1,2623,2,2913,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,10/14/2011,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,2,3115,2,3644,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
288,10/15/2011,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,4,3318,2,5217,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,10/16/2011,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,4,3293,2,5041,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
290,10/17/2011,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3,3857,3,4570,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
291,10/18/2011,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,2,4111,3,4748,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
292,10/19/2011,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,1,2170,1,2424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
